attribute_set,attribute_group,frontend_label_0,attribute_code,frontend_label_1,description,frontend_input,options,note,is_global,is_filterable,is_required,default_value_text,is_unique,frontend_class,is_used_in_grid,is_searchable,search_weight,is_visible_in_advanced_search,is_filterable_in_grid,is_filterable_in_search,position,is_used_for_promo_rules,is_html_allowed_on_front,is_visible_on_front,used_in_product_listing,used_for_sort_by
Lens Accessories,Teleconverters,Camera Mount Type,camera_mount_type,,,Dropdown,"C Mount, Canon EOS, Fujifilm, Nikon, Sigma, PL Mount, Micro Four Thirds, Sony Alpha / Minolta AF, Sony E, T Mount",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Accessories,Teleconverters,Conversion Factor,conversion_factor,,,Dropdown,"1.4x, 1.7x, 2x",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Lens Accessories,Lens Caps,Cap Type,cap_type,,,Dropdown,"Front Hood Cap, Front Lens Cap, Rear Lens Cap",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Accessories,Lens Caps,Attachment Type,attachment_type,,,Dropdown,"Screw-In, Snap-On",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Lens Accessories,Lens Caps,Diameter,diameter,,,Dropdown,"49mm, 52mm, 46mm, 58mm, 62mm, 72mm, 55mm, 67mm, 77mm, 82mm",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
Lens Accessories,Lens Caps,Rear Lens Cap Mount,rear_lens_cap_mount,,,Dropdown,"Canon EOS EF, Canon EOS M, Canon EOS RF, C Mount, Four Thirds, Fujifilm G, Fujifilm X, Hasselblad, Leica L, Leica M, Leica R, Leica S, Micro Four Thirds, Minolta MD, Miranda, Nikon F, Nikon Z mount, Nikon 1, Olympus OM, Pentax 645, Pentax K, Pentax Screw/Universal/M42, Pentax Q, Sigma SA, Sony A-mount, Sony E-mount",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,40,No,Yes,No,No,No
Lens Accessories,Lens Hoods,Hood Type,hood_type,,,Dropdown,"Dedicated, Non-dedicated",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Accessories,Lens Hoods,Lens Angle Range,lens_angle_range,,,Dropdown,"Wide Angle, Standard, Telephoto, Super Telephoto, Multi-angle/Adjustable, Angle Not Specified",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Lens Accessories,Lens Hoods,Construction,construction,,,Dropdown,"Metal, Plastic, Rubber, Foldable Nylon Material",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
Lens Accessories,Lens Cap Savers,Cap Holder Type,cap_holder_type,,,Dropdown,"Clip, Leash, Cap Holder",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
